"industry","alpha","alpha t ratio","alpha p value","beta","beta t ratio","beta p value","R","expected performance","in sample performance","out sample performance"
"MedEq",0.098531252403342,0.610513749468794,0.541811698647744,0.899332908814211,26.1259546524849,4.01651299648776e-94,0.58813182252847,0.0661894143736539,0.0139595717531193,0.199726086205154
"Drugs",0.230943167480469,1.35733300599515,0.175315933573296,0.798217622706896,21.9954494386541,1.36882424951577e-74,0.503015074463761,0.166115497516163,0.11729749743683,0.127451028953174
"Chems",0.118027340293317,0.790319951976582,0.429732843835439,1.01327827456474,31.8111444359573,4.37408521388436e-120,0.679183630601383,0.12229332036911,0.0688814127420834,-0.291546346860394
"Rubbr",0.0421724183733644,0.241679241206819,0.809132359590994,1.05649557297233,28.3862982096169,1.30754786669374e-104,0.627662619092572,0.0603230438552634,-0.0184422886589042,0.126958432206781
"Txtls",-0.0266683943439397,-0.105410171838907,0.916094563788032,1.10828457139794,20.538426929238,1.16079527829153e-67,0.468786766525424,0.00812075102634723,-0.152825215767449,-0.402584581153498
"BldMt",-0.00774068167159883,-0.0487460494379149,0.961142038008219,1.13735934259374,33.5805769137739,7.42553449508409e-128,0.702302202791235,0.0363894661026369,-0.0398249388748884,-0.0712205526352205
"Cnstr",-0.122869846296447,-0.593298062083396,0.553262311255532,1.26769239726541,28.6993286387842,4.78500474377086e-106,0.632774200234286,-0.0368669226780587,-0.175001992990076,-0.381685091299477
"Steel",-0.185663745622376,-0.827587987940237,0.408316844504046,1.27364334073931,26.6173697051748,2.0323602226486e-96,0.597129121902252,-0.0977489315570735,-0.258719968148879,-1.22368353363457
"FabPr",-0.225790564687371,-0.964575903351938,0.335245004711385,1.06868792502508,21.404828765817,8.83243908766939e-72,0.489407172022514,-0.203722839082222,-0.342147148500249,-0.750078306955282
"Mach",-0.029588025396321,-0.203740889531443,0.838642695819876,1.19989487209472,38.7378621512095,1.49385672411044e-149,0.758417722694975,0.0346332359920807,-0.0437625773540562,-0.0402628799346161
"ElcEq",0.212598805196741,1.41226677672532,0.158522120545831,1.19786616476804,37.3073548425957,1.11653373544303e-143,0.74436297980181,0.27616829326979,0.196782388962835,-0.287550383856505
"Autos",-0.123070583866795,-0.549505273422461,0.582915374527841,1.09887310995341,23.0035777195661,2.20394444344625e-79,0.525400311187862,-0.0913051074838226,-0.220686734926479,-0.278900161125017
"Aero",0.243177507240731,1.15624934507926,0.248156739450743,1.13556724766496,25.3146071663421,2.57659230487354e-90,0.572767727279285,0.28673189939078,0.163072791341357,-0.0383650906123245
"Ships",0.0164926460453072,0.0653659174756137,0.947909988272854,1.01287538018201,18.8211984809357,1.55034554017013e-59,0.425644731270693,0.0206291861550115,-0.132077866134828,0.252915424592204
"Guns",0.438475614057817,1.66204535157026,0.0971592859228211,0.821393654238158,14.597517524962,3.55098247441889e-40,0.308336516540884,0.381093827838892,0.23188988039855,0.59258640670603
"Gold",0.334529056728796,0.696751653546131,0.486296917580853,0.654546588534723,6.39167909977135,3.90351620930862e-10,0.0787381348592097,0.223543449130447,-0.27480302553502,-0.960347252149885
"Mines",0.224102818193701,0.881991260325204,0.378224833941517,1.04408878651822,19.2656928486047,1.24301790626858e-61,0.437095359917361,0.238267451101053,0.0765941308677354,-1.07249251363166
"Coal",0.532916944895609,1.28610259377368,0.199029879708558,1.1396039370141,12.8943739915101,7.42043197271579e-33,0.258069135274908,0.577768225150485,0.165999820107077,-3.66368270034394
"Oil",0.367598527742584,1.84211725715448,0.0660772198234117,0.754206538809688,17.7200130742843,2.23680653990524e-54,0.396463780293246,0.288631188794623,0.217179747975971,-1.22755825444611
"Util",0.232311145977252,1.47577450563643,0.140662843967383,0.526372359118863,15.6773721870902,5.39612534857366e-45,0.339578323712358,0.0801463395114476,0.0492337715179092,-0.15579729172126
"Telcm",0.110470572422457,0.743660664223968,0.457447166286371,0.786649225297147,24.8278756748887,5.05726964448132e-88,0.563240336964733,0.0419262634763151,0.00799813326182175,0.0214056643217386
"PerSv",-0.295399113277461,-1.38564348907855,0.166501952367039,1.06608775739924,23.4458245687343,1.75233542878377e-81,0.534886748537293,-0.274166756999213,-0.392101370787956,-0.752594682776908
"BusSv",-0.119683182400698,-1.04630560546123,0.295948753032345,1.16013886765764,47.5516550495744,2.48979321676366e-183,0.825493940548309,-0.0682345385685009,-0.121352367619432,0.216016725122525
