"industry","alpha","alpha t ratio","alpha p value","beta","beta t ratio","beta p value","R","fitted-performance","in-sample performance","out-of-sample performance"
"Drugs","0.108820986685775","0.32101939940791","0.74876355429178","0.495105738669665","6.99633610371676","1.70531509918201e-10","0.293196133553304","0.271727937280908","0.203465621487553","0.0737901729578105"
"Chems","0.560783382693402","1.52101675746947","0.13093081676992","1.02625953159073","13.3336838234429","2.66999158454832e-25","0.601064447014583","0.551308994082211","0.470918101749984","-0.23527826408436"
"Rubbr","0.314759344522329","0.683571261798938","0.49558603414501","0.987612979212196","10.2741532355444","4.47776204925783e-18","0.472173300023217","0.319867611619362","0.197318354526177","0.20146138084729"
"Txtls","0.70353203150114","0.932454483112679","0.353005684653642","1.38901209847972","8.81868602379669","1.22555971592328e-14","0.397249485493931","0.536566191123644","0.229356796447389","-0.353174785521526"
"BldMt","0.45062131404232","1.00290875939017","0.31795706967254","1.07496081975543","11.4603113407714","6.78463456507138e-21","0.526748222598569","0.421732253472074","0.301367947895226","-0.00863175669054694"
"Cnstr","0.943823902808814","1.84903215599624","0.0669560595840994","1.13292973045035","10.6318918906822","6.31571543931938e-19","0.489259572847691","0.891971992130747","0.73440734188196","-0.257053818743547"
"Steel","0.583770649051097","1.2062134865011","0.230148056794572","1.85073445875109","18.3180871775217","2.68702202003314e-36","0.73983155777682","0.166172311532542","0.0198640185910204","-1.19138378462972"
"FabPr","0.306412172705831","0.563261860282382","0.574325342819987","1.12617208402375","9.91660865194018","3.16308905755808e-17","0.454560062475171","0.256394796668336","0.0832193453429109","-0.685634524676892"
"Mach","0.8028044931208","2.39228054558982","0.0183228338464287","1.40840629170889","20.1040870770753","6.45023373154055e-40","0.774021823531755","0.626704128462741","0.553577470546995","-0.038704439567594"
"ElcEq","0.354980957959152","1.09003879118949","0.277917035932936","1.297550365314","19.0860126242293","7.10310751086117e-38","0.755326763354385","0.230205090034497","0.167058196682623","-0.263096934343787"
"Autos","0.01486477872629","0.0240623555585898","0.98084351454094","1.41617280402687","10.981205709147","9.32546582454529e-20","0.505421251242577","-0.1669480395179","-0.380334518588932","-0.0481043018477179"
